"NAME","DESCRIPTION","GENE_SYMBOL","GENE_TITLE","SCORE"
"CXCL9","na","null","null",-1.5980456
"BBC3","na","null","null",-1.5972633
"OAS2","na","null","null",-1.5963284
"KRT6B","na","null","null",-1.5940881
"CLEC17A","na","null","null",-1.5936079
"NFKB2","na","null","null",-1.5933673
"RELB","na","null","null",-1.5913215
"GATA6-AS1","na","null","null",-1.5912637
"PCDH7","na","null","null",-1.5911174
"MCTP2","na","null","null",-1.5906607
"TMEM47","na","null","null",-1.5906323
"PLXNA2","na","null","null",-1.589687
"VAMP1","na","null","null",-1.5882493
"LINC01003","na","null","null",-1.5878643
"SCLT1","na","null","null",-1.5843179
"MOB3C","na","null","null",-1.5825588
"ZFP36","na","null","null",-1.5815642
"RND1","na","null","null",-1.581482
"MYO1G","na","null","null",-1.579193
"FAM53C","na","null","null",-1.5790735
"BAALC","na","null","null",-1.5788815
"TSLP","na","null","null",-1.5783244
"SCAMP1-AS1","na","null","null",-1.5768195
"USP53","na","null","null",-1.5765767
"PPP3CC","na","null","null",-1.576356
"ELF4","na","null","null",-1.5749513
"TENT5C","na","null","null",-1.5737326
"KLHDC7B","na","null","null",-1.5735629
"ISL1","na","null","null",-1.5734192
"RNF39","na","null","null",-1.5732373
"IL12A","na","null","null",-1.5730115
"CBR3-AS1","na","null","null",-1.5717497
"BRIP1","na","null","null",-1.5713087
"TESK2","na","null","null",-1.5704994
"USP25","na","null","null",-1.570223
"MDM2","na","null","null",-1.5685276
"ZEB2","na","null","null",-1.5672554
"CGNL1","na","null","null",-1.5665513
"POU5F1B","na","null","null",-1.564652
"DNAJA1","na","null","null",-1.5625192
"ZCCHC8","na","null","null",-1.562315
"GBP2","na","null","null",-1.5611581
"KCNJ15","na","null","null",-1.5610769
"EZH2","na","null","null",-1.5600462
"LITAF","na","null","null",-1.5580685
